[2021-04-26 10:50:01,622][MainThread:2100][task_id:log_test][Handle_LogConfig.py:81][INFO][调试......]
[2021-04-26 10:51:20,340][MainThread:14000][task_id:log_test][Handle_LogConfig.py:81][INFO][调试......]
[2021-04-26 10:52:22,742][MainThread:10568][task_id:log_test][Handle_LogConfig.py:81][INFO][调试......]
[2021-04-26 11:14:17,331][MainThread:9888][task_id:Mysql][Handle_Mysql.py:45][INFO][关闭MySQL连接]
[2021-04-26 14:04:44,559][MainThread:7628][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 14:04:44,635][MainThread:7628][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:05:26,253][MainThread:8024][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 14:05:26,323][MainThread:8024][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:06:21,120][MainThread:12856][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 14:06:21,198][MainThread:12856][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:06:21,202][MainThread:12856][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 14:13:44,614][MainThread:1860][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 14:13:44,691][MainThread:1860][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:13:44,739][MainThread:1860][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:13:44,781][MainThread:1860][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:13:44,825][MainThread:1860][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:13:44,868][MainThread:1860][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:13:44,910][MainThread:1860][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:13:44,914][MainThread:1860][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 14:20:34,945][MainThread:7224][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 14:20:35,029][MainThread:7224][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:20:35,078][MainThread:7224][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:20:35,122][MainThread:7224][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:20:35,169][MainThread:7224][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:20:35,213][MainThread:7224][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:20:35,259][MainThread:7224][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:20:35,262][MainThread:7224][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 14:22:26,267][MainThread:3408][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 14:22:26,348][MainThread:3408][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:22:26,397][MainThread:3408][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:22:26,440][MainThread:3408][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:22:26,487][MainThread:3408][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:22:26,530][MainThread:3408][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:22:26,572][MainThread:3408][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:22:26,576][MainThread:3408][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 14:24:47,426][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 14:24:47,500][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:24:47,545][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:24:47,585][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:24:47,629][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:24:47,670][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:24:47,709][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
